Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%,Net_Takeaway,Possession_Score
Anthony Beauvillier,27.0,TOT,LW,75.0,966.0,880.0,52.3,1.2,670.0,635.0,51.3,1.0,9.2,91.2,100.4,47.7,52.3,12:50,12:26,15.0,27.0,3.3,246.0,56.9,-12.0,51.8
Anthony Beauvillier,27.0,PIT,LW,63.0,815.0,757.0,51.8,1.0,564.0,546.0,50.8,0.7,9.0,90.9,99.9,51.3,48.7,13:00,12:32,15.0,21.0,1.5,213.0,56.3,-6.0,51.3
Anthony Beauvillier,27.0,WSH,LW,12.0,151.0,123.0,55.1,2.7,106.0,89.0,54.4,2.8,10.6,93.0,103.6,26.3,73.7,11:58,11:56,0.0,6.0,1.8,33.0,60.6,-6.0,54.75
Owen Beck,20.0,MTL,C,12.0,116.0,120.0,49.2,2.0,79.0,78.0,50.3,3.3,3.6,90.7,94.3,60.3,39.7,9:59,9:59,1.0,11.0,1.3,18.0,55.6,-10.0,49.75
Connor Bedard,19.0,CHI,C,75.0,1160.0,1488.0,43.8,-0.6,814.0,1094.0,42.7,-1.3,9.9,88.0,97.9,57.4,42.6,20:17,17:35,23.0,82.0,-12.0,366.0,48.4,-59.0,43.25
John Beecher,23.0,BOS,C,74.0,577.0,705.0,45.0,-4.2,411.0,477.0,46.3,-1.8,8.1,90.4,98.6,17.9,82.1,11:16,9:39,14.0,43.0,-7.8,93.0,45.2,-29.0,45.65
Kieffer Bellows,26.0,NSH,LW,18.0,146.0,166.0,46.8,-4.0,98.0,117.0,45.6,-6.0,2.9,88.9,91.7,36.6,63.4,10:45,10:14,3.0,9.0,0.3,52.0,48.1,-6.0,46.2
Emil Bemström,25.0,PIT,C,13.0,99.0,67.0,59.6,11.6,63.0,47.0,57.3,10.5,2.3,96.4,98.7,52.9,47.1,8:20,8:01,1.0,5.0,0.8,24.0,50.0,-4.0,58.45
Matty Beniers,22.0,SEA,C,76.0,1194.0,1186.0,50.2,2.7,855.0,857.0,49.9,2.1,10.7,89.7,100.4,50.6,49.4,18:41,15:45,26.0,66.0,-1.3,298.0,46.3,-40.0,50.05
Jamie Benn,35.0,DAL,LW,74.0,903.0,1023.0,46.9,-4.0,613.0,737.0,45.4,-4.5,12.2,90.8,103.0,48.7,51.3,15:15,12:18,13.0,54.0,3.1,228.0,52.6,-41.0,46.15
Sam Bennett,28.0,FLA,C,73.0,1309.0,1039.0,55.7,0.2,956.0,798.0,54.5,0.0,8.7,88.0,96.7,58.8,41.2,17:25,15:01,26.0,52.0,12.6,407.0,57.2,-26.0,55.1
Matt Benning,30.0,SJS,D,7.0,72.0,111.0,39.3,-8.0,54.0,84.0,39.1,-8.9,2.6,88.2,90.8,55.1,44.9,13:02,12:03,1.0,4.0,-0.6,15.0,46.7,-3.0,39.2
Simon Benoit,26.0,TOR,D,71.0,815.0,1105.0,42.4,-7.1,606.0,765.0,44.2,-5.7,10.1,92.6,102.7,36.5,63.5,16:14,14:11,12.0,64.0,-9.1,94.0,44.7,-52.0,43.3
Zach Benson,19.0,BUF,LW,67.0,866.0,692.0,55.6,8.2,602.0,513.0,54.0,6.5,9.6,88.7,98.3,51.3,48.7,14:37,12:12,14.0,36.0,1.5,189.0,54.5,-22.0,54.8
Brett Berard,22.0,NYR,LW,31.0,287.0,351.0,45.0,-5.4,203.0,241.0,45.7,-3.9,8.1,88.6,96.7,48.8,51.2,10:34,10:28,6.0,17.0,-4.8,91.0,51.6,-11.0,45.35
Jonatan Berggren,24.0,DET,RW,67.0,704.0,804.0,46.7,-1.5,496.0,585.0,45.9,-1.9,6.7,92.2,98.9,50.6,49.4,12:51,12:01,10.0,24.0,-3.9,169.0,46.2,-14.0,46.3
Jacob Bernard-Docker,24.0,TOT,D,32.0,362.0,397.0,47.7,0.1,259.0,269.0,49.1,1.2,12.6,89.8,102.5,49.5,50.5,13:18,13:10,2.0,13.0,-1.1,64.0,31.3,-11.0,48.400000000000006
Jacob Bernard-Docker,24.0,OTT,D,25.0,290.0,285.0,50.4,0.9,205.0,193.0,51.5,1.3,11.2,89.2,100.4,51.9,48.1,13:06,0.541666667,1.0,9.0,-2.6,55.0,32.7,-8.0,50.95
Jacob Bernard-Docker,24.0,BUF,D,7.0,72.0,112.0,39.1,-0.5,54.0,76.0,41.5,3.2,17.5,91.5,109.0,43.8,56.3,0.583333333,13:48,1.0,4.0,1.5,9.0,22.2,-3.0,40.3
Tyler Bertuzzi,29.0,CHI,LW,75.0,849.0,1065.0,44.4,0.2,581.0,790.0,42.4,-1.5,9.7,86.1,95.8,49.5,50.5,16:02,13:32,18.0,45.0,-12.1,224.0,53.6,-27.0,43.4
Lian Bichsel,20.0,DAL,D,32.0,427.0,419.0,50.5,3.3,290.0,299.0,49.2,2.8,12.8,90.2,102.9,52.8,47.2,14:46,14:16,4.0,20.0,-0.5,84.0,36.9,-16.0,49.85
Clark Bishop,28.0,CGY,C,6.0,31.0,44.0,41.3,-11.5,23.0,36.0,39.0,-14.4,5.9,87.0,92.8,57.9,42.1,7:15,6:47,1.0,2.0,-0.3,4.0,100.0,-1.0,40.15
Oliver Bjorkstrand,29.0,TOT,RW,75.0,971.0,915.0,51.5,3.6,691.0,640.0,51.9,3.9,10.5,89.7,100.2,52.4,47.6,15:08,12:53,25.0,61.0,-3.8,284.0,50.7,-36.0,51.7
Oliver Bjorkstrand,29.0,SEA,RW,61.0,821.0,793.0,50.9,4.0,587.0,558.0,51.3,4.4,10.2,89.3,99.5,53.9,46.1,15:28,13:10,21.0,56.0,-3.2,244.0,50.8,-35.0,51.099999999999994
Oliver Bjorkstrand,29.0,TBL,RW,14.0,150.0,122.0,55.1,2.7,104.0,82.0,55.9,2.8,12.7,91.9,104.6,45.8,54.2,13:40,11:39,4.0,5.0,-0.5,40.0,50.0,-1.0,55.5
Tobias Björnfot,23.0,FLA,D,14.0,188.0,150.0,55.6,-2.3,138.0,104.0,57.0,1.0,8.0,84.9,92.9,56.2,43.8,13:06,12:35,1.0,6.0,3.0,28.0,35.7,-5.0,56.3
Nick Bjugstad,32.0,UTA,C,60.0,705.0,672.0,51.2,-1.7,511.0,480.0,51.6,-1.2,6.5,90.8,97.3,48.4,51.6,12:27,11:38,11.0,34.0,1.2,186.0,54.3,-23.0,51.400000000000006
Colin Blackwell,31.0,DAL,C,59.0,547.0,514.0,51.6,0.9,361.0,361.0,50.0,0.4,8.8,91.8,100.6,41.9,58.1,11:32,9:38,14.0,32.0,0.3,125.0,48.0,-18.0,50.8
Jackson Blake,21.0,CAR,RW,74.0,1011.0,625.0,61.8,3.4,698.0,441.0,61.3,3.9,7.7,92.1,99.8,60.8,39.2,13:38,11:33,19.0,52.0,14.7,225.0,58.7,-33.0,61.55
Nick Blankenburg,26.0,NSH,D,54.0,848.0,846.0,50.1,-2.2,593.0,629.0,48.5,-3.6,10.3,91.8,102.1,45.4,54.6,19:18,16:04,18.0,45.0,1.4,175.0,43.4,-27.0,49.3
Teddy Blueger,30.0,VAN,C,75.0,813.0,909.0,47.2,-2.8,580.0,638.0,47.6,-1.9,9.5,89.2,98.7,40.8,59.2,14:18,12:06,20.0,46.0,-9.7,167.0,50.9,-26.0,47.400000000000006
Matěj Blümel,24.0,DAL,RW,7.0,42.0,52.0,44.7,-2.6,31.0,38.0,44.9,-2.0,4.2,92.3,96.5,25.7,74.3,8:26,8:23,1.0,2.0,0.2,15.0,66.7,-1.0,44.8
Brock Boeser,27.0,VAN,RW,68.0,975.0,996.0,49.5,0.1,682.0,714.0,48.9,-0.4,10.1,85.7,95.9,60.0,40.0,18:06,14:52,15.0,36.0,1.9,289.0,46.0,-21.0,49.2
Zach Bogosian,34.0,MIN,D,75.0,920.0,1129.0,44.9,-2.6,679.0,823.0,45.2,-2.8,9.4,92.1,101.5,40.6,59.4,15:58,14:08,20.0,65.0,-2.7,186.0,39.8,-45.0,45.05
Samuel Bolduc,24.0,NYI,D,1.0,7.0,2.0,77.8,25.1,4.0,1.0,80.0,29.3,0.0,0.0,0.0,100.0,0.0,5:56,5:56,0.0,0.0,0.0,1.0,0.0,0.0,78.9
Zachary Bolduc,21.0,STL,C,67.0,713.0,660.0,51.9,2.9,491.0,454.0,52.0,2.8,11.9,92.8,104.7,54.8,45.2,12:44,11:29,16.0,56.0,8.3,223.0,48.0,-40.0,51.95
Matt Boldy,23.0,MIN,LW,76.0,1245.0,1256.0,49.8,4.4,917.0,885.0,50.9,5.4,10.4,89.8,100.1,46.1,53.9,20:03,16:33,41.0,78.0,3.2,509.0,49.9,-37.0,50.349999999999994
Adam Boqvist,24.0,TOT,D,34.0,426.0,399.0,51.6,-0.4,305.0,287.0,51.5,0.8,8.7,89.0,97.7,61.4,38.6,13:55,11:47,4.0,21.0,4.0,101.0,38.6,-17.0,51.55
Adam Boqvist,24.0,FLA,D,18.0,224.0,202.0,52.6,-0.7,151.0,147.0,50.7,-1.0,7.8,89.4,97.3,63.0,37.0,12:51,10:48,4.0,8.0,1.8,53.0,39.6,-4.0,51.650000000000006
Adam Boqvist,24.0,NYI,D,16.0,202.0,197.0,50.6,-0.1,154.0,140.0,52.4,2.6,9.7,88.5,98.2,59.8,40.2,15:07,12:53,0.0,13.0,2.2,48.0,37.5,-13.0,51.5
Jesper Boqvist,26.0,FLA,C,72.0,793.0,761.0,51.0,-5.9,549.0,579.0,48.7,-7.5,9.6,90.6,100.2,57.0,43.0,13:06,11:46,16.0,27.0,-0.5,151.0,51.7,-11.0,49.85
William Borgen,28.0,TOT,D,77.0,1080.0,1250.0,46.4,-2.9,764.0,876.0,46.6,-3.1,9.8,89.3,99.1,41.9,58.1,17:01,15:37,20.0,71.0,-11.8,193.0,37.3,-51.0,46.5
William Borgen,28.0,NYR,D,44.0,680.0,757.0,47.3,-2.1,485.0,541.0,47.3,-2.6,10.7,90.6,101.4,35.4,64.6,18:23,16:57,14.0,51.0,-6.1,110.0,43.6,-37.0,47.3
William Borgen,28.0,SEA,D,33.0,400.0,493.0,44.8,-4.3,279.0,335.0,45.4,-4.1,8.0,87.1,95.1,53.1,46.9,15:12,13:50,6.0,20.0,-5.7,83.0,28.9,-14.0,45.099999999999994
Robert Bortuzzo,35.0,UTA,D,16.0,135.0,131.0,50.8,-1.2,98.0,86.0,53.3,1.4,4.8,91.2,96.1,62.1,37.9,10:53,9:26,0.0,17.0,1.8,16.0,43.8,-17.0,52.05
Evan Bouchard,25.0,EDM,D,75.0,1818.0,1208.0,60.1,10.1,1314.0,910.0,59.1,8.2,9.4,88.9,98.3,61.7,38.3,23:21,19:53,47.0,124.0,23.1,494.0,42.7,-77.0,59.6
Mavrik Bourque,23.0,DAL,C,66.0,748.0,652.0,53.4,3.8,485.0,476.0,50.5,1.3,10.9,91.3,102.3,43.8,56.3,12:32,11:26,11.0,35.0,4.6,148.0,48.0,-24.0,51.95
Shane Bowers,25.0,NJD,C,4.0,24.0,27.0,47.1,-10.6,19.0,20.0,48.7,-12.2,10.0,86.7,96.7,75.0,25.0,8:15,8:08,1.0,1.0,-0.6,2.0,100.0,0.0,47.900000000000006
Travis Boyd,31.0,MIN,C,3.0,12.0,39.0,23.5,-24.5,6.0,23.0,20.7,-28.0,0.0,100.0,100.0,11.1,88.9,7:48,7:19,0.0,2.0,-0.2,3.0,0.0,-2.0,22.1
Chase Bradley,23.0,COL,LW,2.0,8.0,8.0,50.0,-12.2,4.0,3.0,57.1,-6.1,0.0,100.0,100.0,0.0,100.0,5:35,5:35,0.0,0.0,-0.2,2.0,0.0,0.0,53.55
Erik Brännström,25.0,VAN,D,28.0,340.0,357.0,48.8,0.2,238.0,254.0,48.4,-0.5,9.0,88.9,97.9,66.5,33.5,14:56,13:55,6.0,26.0,-0.7,81.0,40.7,-20.0,48.599999999999994
Jesper Bratt,26.0,NJD,W,76.0,1276.0,1090.0,53.9,4.2,865.0,798.0,52.0,2.8,11.6,89.3,100.9,69.3,30.7,18:53,14:27,11.0,55.0,6.5,361.0,45.7,-44.0,52.95
Justin Brazeau,26.0,TOT,F,71.0,721.0,788.0,47.8,-1.0,503.0,569.0,46.9,-1.8,7.1,92.2,99.3,47.6,52.4,12:07,10:51,13.0,40.0,-1.4,153.0,56.2,-27.0,47.349999999999994
Justin Brazeau,26.0,BOS,F,57.0,626.0,643.0,49.3,0.3,427.0,475.0,47.3,-1.6,7.5,91.9,99.4,48.3,51.7,12:58,11:26,10.0,33.0,0.4,138.0,56.5,-23.0,48.3
Justin Brazeau,26.0,MIN,F,14.0,95.0,145.0,39.6,-8.2,76.0,94.0,44.7,-3.4,4.8,93.5,98.3,44.3,55.7,8:37,8:30,3.0,7.0,-1.9,15.0,53.3,-4.0,42.150000000000006
Bobby Brink,23.0,PHI,RW,73.0,818.0,850.0,49.0,0.9,597.0,587.0,50.4,-0.1,10.8,87.0,97.7,41.2,58.8,14:44,12:49,19.0,56.0,1.9,195.0,50.3,-37.0,49.7
Guillaume Brisebois,27.0,VAN,D,3.0,37.0,43.0,46.3,-7.2,25.0,31.0,44.6,-10.5,6.3,95.0,101.3,71.4,28.6,15:48,15:38,1.0,0.0,-1.2,6.0,33.3,1.0,45.45
Brendan Brisson,23.0,VEG,C,9.0,69.0,95.0,42.1,-1.8,51.0,72.0,41.5,-4.4,9.4,88.9,98.3,40.7,59.3,9:52,9:52,1.0,1.0,-1.7,18.0,38.9,0.0,41.8
Philip Broberg,23.0,STL,D,64.0,1119.0,1181.0,48.7,-0.9,796.0,839.0,48.7,-1.0,10.3,94.0,104.2,47.2,52.8,20:27,18:37,22.0,95.0,8.6,231.0,40.7,-73.0,48.7
T.J. Brodie,34.0,CHI,D,54.0,681.0,814.0,45.6,1.6,476.0,600.0,44.2,0.4,7.7,89.6,97.2,48.0,52.0,15:38,15:07,14.0,46.0,-12.1,77.0,29.9,-32.0,44.900000000000006
Jonas Brodin,31.0,MIN,D,44.0,800.0,906.0,46.9,0.6,567.0,602.0,48.5,2.5,12.1,90.2,102.3,47.5,52.5,22:29,20:34,14.0,47.0,-1.4,146.0,45.2,-33.0,47.7
Jonny Brodzinski,31.0,NYR,C,44.0,420.0,502.0,45.6,-3.8,298.0,369.0,44.7,-4.7,9.9,95.7,105.6,39.5,60.5,11:21,10:40,9.0,21.0,-6.5,115.0,53.9,-12.0,45.150000000000006
Connor Brown,31.0,EDM,RW,75.0,787.0,857.0,47.9,-7.7,560.0,599.0,48.3,-7.4,8.9,91.9,100.8,40.0,60.0,13:40,12:02,25.0,50.0,-1.2,181.0,57.5,-25.0,48.099999999999994
Josh Brown,31.0,EDM,D,8.0,70.0,88.0,44.3,-9.9,48.0,60.0,44.4,-10.0,5.4,93.2,98.6,48.3,51.7,11:29,10:22,0.0,3.0,-0.4,13.0,38.5,-3.0,44.349999999999994
Patrick Brown,32.0,BOS,C,15.0,103.0,150.0,40.7,-7.5,60.0,93.0,39.2,-7.4,5.1,94.3,99.4,17.7,82.3,10:34,9:40,3.0,10.0,-5.7,22.0,50.0,-7.0,39.95
Jacob Bryson,27.0,BUF,D,45.0,503.0,604.0,45.4,-5.5,355.0,438.0,44.8,-5.7,11.9,87.5,99.4,37.7,62.3,14:24,13:23,8.0,31.0,-8.2,50.0,36.0,-23.0,45.099999999999994
Pavel Buchnevich,29.0,STL,LW,71.0,1106.0,1096.0,50.2,1.7,797.0,786.0,50.3,1.8,12.3,89.6,101.9,55.7,44.3,18:59,15:39,14.0,62.0,5.9,278.0,48.9,-48.0,50.25
Michael Bunting,29.0,TOT,LW,70.0,974.0,883.0,52.5,2.6,668.0,623.0,51.7,2.6,7.9,87.2,95.1,60.6,39.4,15:25,13:19,12.0,52.0,1.1,281.0,48.0,-40.0,52.1
Michael Bunting,29.0,PIT,LW,58.0,786.0,724.0,52.1,2.0,539.0,511.0,51.3,1.9,8.5,87.7,96.3,61.1,38.9,15:15,12:59,10.0,38.0,1.3,231.0,47.6,-28.0,51.7
Michael Bunting,29.0,NSH,LW,12.0,188.0,159.0,54.2,5.9,129.0,112.0,53.5,6.3,5.1,84.7,89.9,58.3,41.7,16:14,15:00,2.0,14.0,-0.2,50.0,50.0,-12.0,53.85
André Burakovsky,29.0,SEA,LW,73.0,925.0,990.0,48.3,0.2,667.0,732.0,47.7,-0.7,10.1,89.9,100.0,51.8,48.2,14:24,12:53,17.0,33.0,-1.4,206.0,52.9,-16.0,48.0
Callahan Burke,27.0,VEG,C,7.0,61.0,86.0,41.5,-6.2,44.0,62.0,41.5,-4.8,11.8,94.6,106.4,72.7,27.3,10:50,10:47,0.0,3.0,-0.6,17.0,70.6,-3.0,41.5
Brent Burns,39.0,CAR,D/RW,74.0,1570.0,1158.0,57.6,-2.5,1111.0,838.0,57.0,-1.9,10.2,89.0,99.3,54.5,45.5,21:22,17:11,36.0,92.0,7.3,428.0,38.8,-56.0,57.3
Kyle Burroughs,29.0,LAK,D,29.0,197.0,174.0,53.1,0.4,138.0,125.0,52.5,-1.3,10.8,90.2,101.0,54.8,45.2,7:35,7:10,3.0,17.0,1.0,19.0,26.3,-14.0,52.8
Quinton Byfield,22.0,LAK,C,75.0,1241.0,1001.0,55.4,3.1,862.0,706.0,55.0,1.6,11.7,89.7,101.4,53.5,46.5,18:35,15:12,24.0,64.0,2.1,328.0,44.2,-40.0,55.2
Bowen Byram,23.0,BUF,D,74.0,1391.0,1423.0,49.4,-0.3,1013.0,1028.0,49.6,0.6,12.5,88.7,101.2,51.8,48.2,22:52,19:50,15.0,73.0,-4.1,187.0,44.4,-58.0,49.5
Drake Caggiula,30.0,EDM,LW,7.0,37.0,61.0,37.8,-16.0,21.0,36.0,36.8,-17.1,12.5,93.1,105.6,66.7,33.3,7:18,7:18,0.0,3.0,-1.7,9.0,66.7,-3.0,37.3
Luca Cagnoni,20.0,SJS,D,5.0,65.0,76.0,46.1,0.6,43.0,56.0,43.4,-3.6,3.8,88.6,92.4,63.6,36.4,17:37,14:43,1.0,5.0,-0.4,23.0,30.4,-4.0,44.75
Michael Callahan,25.0,BOS,D,14.0,160.0,218.0,42.3,-7.6,116.0,166.0,41.1,-7.2,6.8,91.7,98.4,25.8,74.2,13:32,12:37,1.0,10.0,-2.2,22.0,27.3,-9.0,41.7
Kyle Capobianco,27.0,DAL,D,1.0,6.0,7.0,46.2,-2.3,4.0,5.0,44.4,-5.6,0.0,33.3,33.3,33.3,66.7,11:23,10:50,1.0,0.0,-0.2,1.0,0.0,1.0,45.3
Michael Carcone,28.0,UTA,F,52.0,608.0,520.0,53.9,0.9,422.0,360.0,54.0,1.1,9.2,86.5,95.8,51.0,49.0,11:26,10:41,6.0,36.0,1.4,179.0,40.8,-30.0,53.95
Ethan Cardwell,22.0,SJS,RW,6.0,58.0,81.0,41.7,1.2,35.0,54.0,39.3,-3.1,9.5,89.2,98.7,45.5,54.5,11:32,10:26,1.0,5.0,-0.9,11.0,45.5,-4.0,40.5
Declan Carlile,24.0,TBL,D,3.0,37.0,32.0,53.6,-1.8,31.0,26.0,54.4,-1.9,11.1,100.0,111.1,60.0,40.0,13:00,13:00,0.0,3.0,-0.2,8.0,37.5,-3.0,54.0
Brandon Carlo,28.0,TOT,D,76.0,1044.0,1293.0,44.7,-4.4,761.0,914.0,45.4,-3.1,9.4,91.6,101.0,30.3,69.7,18:42,15:59,17.0,100.0,-7.3,185.0,38.4,-83.0,45.05
Brandon Carlo,28.0,BOS,D,63.0,864.0,1035.0,45.5,-4.6,616.0,731.0,45.7,-3.6,9.3,91.2,100.6,28.5,71.5,18:48,15:55,14.0,82.0,-8.1,160.0,40.0,-68.0,45.6
Brandon Carlo,28.0,TOR,D,13.0,180.0,258.0,41.1,-2.9,145.0,183.0,44.2,-0.7,10.0,93.0,103.0,38.9,61.1,18:14,16:19,3.0,18.0,0.8,25.0,28.0,-15.0,42.650000000000006
John Carlson,35.0,WSH,D,75.0,1456.0,1248.0,53.8,5.2,1062.0,882.0,54.6,5.2,11.5,89.0,100.6,52.0,48.0,23:38,17:43,29.0,109.0,15.1,376.0,43.1,-80.0,54.2
Leo Carlsson,20.0,ANA,C,69.0,884.0,993.0,47.1,2.4,627.0,698.0,47.3,2.4,9.7,92.8,102.5,52.3,47.7,16:05,13:15,16.0,47.0,-5.7,199.0,49.2,-31.0,47.2
Lucas Carlsson,27.0,SJS,D,6.0,101.0,128.0,44.1,-3.8,72.0,81.0,47.1,-0.8,11.1,87.3,98.4,52.4,47.6,18:48,16:45,1.0,1.0,-1.1,15.0,53.3,0.0,45.6
Sam Carrick,32.0,NYR,C,74.0,645.0,806.0,44.5,-5.6,463.0,551.0,45.7,-4.1,8.9,93.0,101.9,20.3,79.7,11:47,10:35,14.0,42.0,-7.8,145.0,51.0,-28.0,45.1
Alexandre Carrier,28.0,TOT,D,72.0,1197.0,1388.0,46.3,-5.5,839.0,980.0,46.1,-5.1,10.3,88.9,99.2,40.3,59.7,20:30,18:20,22.0,56.0,-10.3,167.0,47.3,-34.0,46.2
Alexandre Carrier,28.0,MTL,D,44.0,758.0,890.0,46.0,-3.8,533.0,618.0,46.3,-3.9,11.8,89.4,101.2,36.2,63.8,20:44,19:01,9.0,30.0,-2.1,110.0,50.9,-21.0,46.15
Alexandre Carrier,28.0,NSH,D,28.0,439.0,498.0,46.9,-8.1,306.0,362.0,45.8,-7.1,7.4,88.2,95.6,48.7,51.3,20:08,17:15,13.0,26.0,-8.2,57.0,40.4,-13.0,46.349999999999994
William Carrier,30.0,CAR,LW,39.0,547.0,346.0,61.3,2.5,381.0,250.0,60.4,2.4,8.6,89.1,97.7,53.9,46.1,11:37,11:18,11.0,17.0,3.2,104.0,40.4,-6.0,60.849999999999994
Seamus Casey,21.0,NJD,D,10.0,92.0,129.0,41.6,-5.1,65.0,90.0,41.9,-5.4,12.8,98.3,111.0,68.3,31.7,11:57,10:36,2.0,9.0,0.7,22.0,40.9,-7.0,41.75
Noah Cates,25.0,PHI,LW,72.0,860.0,894.0,49.0,0.3,627.0,611.0,50.6,-0.2,10.6,90.0,100.6,36.7,63.3,15:52,13:23,19.0,30.0,3.7,203.0,51.7,-11.0,49.8
Cole Caufield,24.0,MTL,RW,75.0,1203.0,1132.0,51.5,5.8,874.0,794.0,52.4,7.0,10.9,90.2,101.0,59.6,40.4,18:08,0.625,21.0,52.0,0.0,398.0,55.0,-31.0,51.95
Cody Ceci,31.0,TOT,D,78.0,1263.0,1713.0,42.4,-5.2,891.0,1237.0,41.9,-4.5,12.0,92.0,104.0,41.8,58.2,21:26,18:48,21.0,71.0,-24.2,198.0,39.9,-50.0,42.15
Cody Ceci,31.0,SJS,D,54.0,872.0,1182.0,42.5,-4.6,626.0,854.0,42.3,-3.8,9.7,90.8,100.5,46.0,54.0,21:46,18:44,16.0,53.0,-19.9,135.0,44.4,-37.0,42.4
Cody Ceci,31.0,DAL,D,24.0,391.0,531.0,42.4,-6.7,265.0,383.0,40.9,-6.1,17.9,94.6,112.5,34.0,66.0,20:39,18:58,5.0,18.0,-4.3,63.0,30.2,-13.0,41.65
Macklin Celebrini,18.0,SJS,F,63.0,1101.0,1074.0,50.6,7.4,793.0,747.0,51.5,8.4,8.2,86.3,94.5,54.9,45.1,19:52,16:27,26.0,99.0,-1.2,416.0,51.4,-73.0,51.05
Erik Černák,27.0,TBL,D,69.0,987.0,1089.0,47.5,-4.2,703.0,751.0,48.3,-2.9,12.8,93.6,106.4,37.1,62.9,18:22,15:56,18.0,34.0,3.0,168.0,35.7,-16.0,47.9
Thomas Chabot,28.0,OTT,D,74.0,1587.0,1390.0,53.3,5.3,1104.0,991.0,52.7,3.7,9.2,90.8,100.1,55.2,44.8,23:01,19:09,31.0,89.0,4.7,415.0,39.0,-58.0,53.0
Mitchell Chaffee,27.0,TBL,F,62.0,516.0,668.0,43.6,-7.7,366.0,494.0,42.6,-8.5,10.8,92.6,103.4,46.6,53.4,12:08,10:54,9.0,27.0,-10.1,115.0,55.7,-18.0,43.1
Jalen Chatfield,28.0,CAR,D,74.0,1443.0,1012.0,58.8,-0.5,1025.0,758.0,57.5,-1.1,10.1,90.8,100.9,53.7,46.3,18:51,0.708333333,25.0,76.0,4.9,287.0,37.6,-51.0,58.15
Ben Chiarot,33.0,DET,D,73.0,1240.0,1612.0,43.5,-6.9,871.0,1146.0,43.2,-7.0,9.1,90.9,99.9,43.6,56.4,21:21,19:22,23.0,78.0,-12.3,238.0,42.0,-55.0,43.35
Nikita Chibrikov,21.0,WPG,RW,4.0,34.0,55.0,38.2,-6.5,27.0,37.0,42.2,-3.3,11.1,96.2,107.3,64.3,35.7,11:24,10:35,1.0,3.0,0.2,10.0,60.0,-2.0,40.2
Yegor Chinakhov,23.0,CBJ,RW,29.0,470.0,405.0,53.7,1.5,348.0,309.0,53.0,0.4,7.3,89.1,96.4,59.7,40.3,15:52,13:42,4.0,17.0,0.9,139.0,48.9,-13.0,53.35
Declan Chisholm,25.0,MIN,D,62.0,933.0,946.0,49.7,4.3,665.0,676.0,49.6,3.9,7.2,91.5,98.7,47.0,53.0,17:04,15:57,25.0,78.0,-1.1,150.0,41.3,-53.0,49.650000000000006
Dennis Cholowski,26.0,TOT,D,38.0,376.0,454.0,45.3,-3.4,278.0,315.0,46.9,-2.6,9.7,91.1,100.8,57.2,42.8,13:03,11:46,8.0,38.0,-1.1,72.0,38.9,-30.0,46.099999999999994
Dennis Cholowski,26.0,NYI,D,33.0,325.0,398.0,45.0,-3.2,242.0,271.0,47.2,-1.9,10.3,91.0,101.3,54.7,45.3,12:48,11:26,8.0,33.0,-1.0,61.0,42.6,-25.0,46.1
Dennis Cholowski,26.0,NJD,D,5.0,51.0,56.0,47.7,-5.0,36.0,44.0,45.0,-7.7,4.8,91.7,96.4,75.0,25.0,14:42,13:59,0.0,5.0,-0.1,11.0,18.2,-5.0,46.35
Jake Christiansen,25.0,CBJ,D,66.0,707.0,895.0,44.1,-4.4,513.0,635.0,44.7,-4.6,11.1,92.0,103.1,45.9,54.1,12:41,12:13,8.0,50.0,-6.5,131.0,43.5,-42.0,44.400000000000006
Jakob Chychrun,26.0,WSH,D,70.0,1393.0,1233.0,53.0,3.5,968.0,883.0,52.3,1.0,12.7,90.1,102.8,58.1,41.9,21:00,18:40,34.0,76.0,4.2,438.0,39.7,-42.0,52.65
Filip Chytil,25.0,TOT,C,56.0,784.0,749.0,51.1,2.4,576.0,559.0,50.7,1.4,8.0,90.1,98.1,61.8,38.2,14:58,13:26,15.0,36.0,-1.6,255.0,52.2,-21.0,50.900000000000006
Filip Chytil,25.0,NYR,C,41.0,547.0,551.0,49.8,0.7,402.0,416.0,49.1,-0.3,9.5,92.1,101.6,61.1,38.9,14:20,13:06,8.0,25.0,-2.9,177.0,50.3,-17.0,49.45
Filip Chytil,25.0,VAN,C,15.0,237.0,198.0,54.5,6.8,174.0,143.0,54.9,5.6,4.5,84.2,88.7,63.5,36.5,16:42,14:20,7.0,11.0,1.3,78.0,56.4,-4.0,54.7
Anthony Cirelli,27.0,TBL,C,73.0,1293.0,1023.0,55.8,7.8,906.0,729.0,55.4,7.2,12.2,89.5,101.7,44.0,56.0,18:45,15:26,19.0,61.0,19.4,263.0,55.9,-42.0,55.599999999999994
Casey Cizikas,33.0,NYI,C,74.0,798.0,859.0,48.2,-1.8,569.0,600.0,48.7,-2.0,7.4,88.9,96.4,42.0,58.0,12:54,11:59,17.0,36.0,-5.1,167.0,49.1,-19.0,48.45
Brandt Clarke,21.0,LAK,D,71.0,1141.0,955.0,54.4,2.2,822.0,666.0,55.2,2.1,10.6,89.7,100.3,60.5,39.5,16:07,14:16,24.0,58.0,5.0,246.0,48.8,-34.0,54.8
