Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%,Net_Takeaway,Possession_Score
Ben Jones,25.0,MIN,F,26.0,172.0,261.0,39.7,-9.2,124.0,183.0,40.4,-9.0,3.3,94.9,98.2,33.7,66.3,8:23,8:15,2.0,9.0,-0.9,51.0,47.1,-7.0,40.05
Caleb Jones,27.0,LAK,D,5.0,64.0,34.0,65.3,15.2,43.0,22.0,66.2,16.9,0.0,89.5,89.5,70.6,29.4,12:49,11:46,1.0,2.0,0.5,15.0,40.0,-1.0,65.75
Max Jones,26.0,TOT,LW,19.0,123.0,169.0,42.1,-10.2,72.0,125.0,36.5,-15.7,4.8,86.4,91.2,51.3,48.8,8:53,8:49,1.0,6.0,-4.9,29.0,27.6,-5.0,39.3
Max Jones,26.0,EDM,LW,12.0,79.0,92.0,46.2,-9.8,46.0,70.0,39.7,-16.5,3.8,86.0,89.9,58.0,42.0,8:13,8:13,1.0,2.0,-3.1,22.0,27.3,-1.0,42.95
Max Jones,26.0,BOS,LW,7.0,44.0,77.0,36.4,-8.7,26.0,55.0,32.1,-12.3,6.3,86.8,93.1,40.0,60.0,10:01,9:52,0.0,4.0,-1.7,7.0,28.6,-4.0,34.25
Seth Jones,30.0,TOT,D,56.0,1109.0,1171.0,48.6,3.0,780.0,884.0,46.9,1.1,8.9,88.6,97.6,56.0,44.0,24:50:00,19:43,23.0,72.0,-6.9,270.0,41.9,-49.0,47.75
Seth Jones,30.0,CHI,D,42.0,758.0,914.0,45.3,2.5,532.0,675.0,44.1,0.8,10.6,88.3,98.9,53.0,47.0,24:30:00,19:33,18.0,56.0,-9.4,196.0,41.3,-38.0,44.7
Seth Jones,30.0,FLA,D,14.0,351.0,257.0,57.7,3.4,248.0,209.0,54.3,0.7,4.7,89.9,94.6,65.0,35.0,25:50:00,20:15,5.0,16.0,2.4,74.0,43.2,-11.0,56.0
Zachary Jones,24.0,NYR,D,42.0,611.0,653.0,48.3,-2.1,454.0,484.0,48.4,-1.0,7.0,94.0,101.0,56.0,44.0,17:05,15:31,14.0,38.0,-5.9,102.0,41.2,-24.0,48.349999999999994
Mathieu Joseph,27.0,STL,RW,56.0,551.0,565.0,49.4,0.7,371.0,378.0,49.5,0.5,7.7,88.6,96.3,39.3,60.7,11:59,10:58,16.0,24.0,4.6,131.0,51.1,-8.0,49.45
Pierre-Olivier Joseph,25.0,TOT,D,47.0,616.0,609.0,50.3,2.9,432.0,451.0,48.9,2.1,6.4,86.9,93.3,50.4,49.6,15:16,14:16,20.0,53.0,-3.7,122.0,34.4,-33.0,49.599999999999994
Pierre-Olivier Joseph,25.0,PIT,D,24.0,362.0,341.0,51.5,1.2,262.0,254.0,50.8,0.7,5.5,86.0,91.5,52.4,47.6,17:20,16:16,13.0,25.0,-2.2,75.0,26.7,-12.0,51.15
Pierre-Olivier Joseph,25.0,STL,D,23.0,254.0,268.0,48.7,4.4,170.0,197.0,46.3,3.0,7.5,87.9,95.4,47.5,52.5,13:06,12:11,7.0,28.0,-1.6,47.0,46.8,-21.0,47.5
Dakota Joshua,28.0,VAN,C,50.0,489.0,598.0,45.0,-4.6,343.0,410.0,45.6,-4.0,6.4,88.4,94.7,47.5,52.5,0.541666667,11:56,11.0,33.0,-0.5,92.0,44.6,-22.0,45.3
Roman Josi,34.0,NSH,D,53.0,1291.0,1008.0,56.2,7.6,899.0,760.0,54.2,6.5,8.3,86.2,94.4,67.7,32.3,25:02:00,20:19,23.0,75.0,0.7,368.0,40.8,-52.0,55.2
Tyson Jost,26.0,CAR,C,31.0,341.0,216.0,61.2,2.5,235.0,158.0,59.8,2.2,5.7,94.4,100.1,57.1,42.9,9:33,9:05,6.0,8.0,4.0,53.0,52.8,-2.0,60.5
Noah Juulsen,27.0,VAN,D,35.0,376.0,502.0,42.8,-6.5,254.0,358.0,41.5,-7.8,8.0,88.3,96.3,33.2,66.8,16:17,13:55,12.0,40.0,-6.5,70.0,37.1,-28.0,42.15
Nazem Kadri,34.0,CGY,C,75.0,1410.0,1264.0,52.7,2.1,970.0,912.0,51.5,1.0,7.1,90.3,97.4,62.1,37.9,19:20,16:20,28.0,54.0,0.9,500.0,51.4,-26.0,52.1
Wyatt Kaiser,22.0,CHI,D,51.0,720.0,804.0,47.2,4.9,514.0,582.0,46.9,4.8,8.7,91.0,99.7,46.5,53.5,17:57,16:20,20.0,54.0,-4.9,119.0,51.3,-34.0,47.05
Kaapo Kakko,23.0,TOT,RW,73.0,1019.0,1022.0,49.9,1.8,749.0,761.0,49.6,1.6,10.3,90.0,100.3,52.7,47.3,15:39,14:08,18.0,55.0,-2.6,221.0,49.3,-37.0,49.75
Kaapo Kakko,23.0,SEA,RW,43.0,675.0,642.0,51.3,4.0,491.0,477.0,50.7,3.1,10.4,87.2,97.6,49.4,50.6,17:18,15:25,13.0,39.0,-2.0,137.0,46.7,-26.0,51.0
Kaapo Kakko,23.0,NYR,RW,30.0,344.0,380.0,47.5,-1.6,258.0,284.0,47.6,-0.9,10.2,94.7,105.0,59.9,40.1,13:17,12:18,5.0,16.0,-0.6,84.0,53.6,-11.0,47.55
Arthur Kaliyev,23.0,NYR,RW,14.0,139.0,144.0,49.1,-0.8,99.0,113.0,46.7,-4.3,10.4,93.1,103.5,58.9,41.1,11:13,10:54,0.0,4.0,-0.7,35.0,60.0,-4.0,47.900000000000006
David Kämpf,30.0,TOR,C,59.0,486.0,578.0,45.7,-2.8,347.0,406.0,46.1,-3.1,8.7,91.3,100.0,24.1,75.9,12:24,10:19,17.0,30.0,-3.3,81.0,55.6,-13.0,45.900000000000006
Patrick Kane,36.0,DET,RW,64.0,903.0,994.0,47.6,-0.7,651.0,718.0,47.6,-0.4,7.5,90.1,97.5,56.7,43.3,17:54,14:52,12.0,68.0,-3.7,297.0,52.2,-56.0,47.6
